locus_tag	ftype	length_bp	gene	EC_number	COG	product
BNEGNLPN_00117	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
BNEGNLPN_00118	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
BNEGNLPN_00119	CDS	1356	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
BNEGNLPN_00120	CDS	186				hypothetical protein
BNEGNLPN_00121	CDS	345	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
BNEGNLPN_00122	CDS	1911	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
BNEGNLPN_00123	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
BNEGNLPN_00124	CDS	582	slp		COG3065	Outer membrane protein Slp
BNEGNLPN_00125	CDS	1719	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BNEGNLPN_00126	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
BNEGNLPN_00127	CDS	270	minE		COG0851	Cell division topological specificity factor
BNEGNLPN_00128	CDS	813	minD		COG2894	Septum site-determining protein MinD
BNEGNLPN_00129	CDS	699	minC		COG0850	Septum site-determining protein MinC
BNEGNLPN_00130	CDS	282	ycgL		COG3100	Protein YcgL
BNEGNLPN_00131	CDS	660	ycgM		COG0179	putative protein YcgM
BNEGNLPN_00132	CDS	447				hypothetical protein
BNEGNLPN_00133	CDS	345	yeaR_1		COG3615	putative protein YeaR
BNEGNLPN_00134	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
BNEGNLPN_00135	CDS	1551	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
BNEGNLPN_00136	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
BNEGNLPN_00137	CDS	1533				hypothetical protein
BNEGNLPN_00138	CDS	1299	dadA_1	1.4.99.-		D-amino acid dehydrogenase
BNEGNLPN_00139	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
BNEGNLPN_00140	CDS	1734	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
BNEGNLPN_00141	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
BNEGNLPN_00142	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
BNEGNLPN_00143	CDS	2121	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
BNEGNLPN_00144	CDS	1746	treA	3.2.1.28	COG1626	Periplasmic trehalase
BNEGNLPN_00145	CDS	1440			COG2308	putative protein
BNEGNLPN_00146	CDS	930			COG2307	putative protein
BNEGNLPN_00147	CDS	816			COG1305	putative protein
BNEGNLPN_00148	CDS	747				hypothetical protein
BNEGNLPN_00149	CDS	858				hypothetical protein
BNEGNLPN_00150	CDS	1014				hypothetical protein
BNEGNLPN_00151	CDS	801				hypothetical protein
BNEGNLPN_00152	CDS	942	tsaR_1			HTH-type transcriptional regulator TsaR
BNEGNLPN_00153	CDS	990	tdcB	4.3.1.19	COG1171	L-threonine dehydratase catabolic TdcB
BNEGNLPN_00154	CDS	1332	tdcC		COG0814	Threonine/serine transporter TdcC
BNEGNLPN_00155	CDS	1209	tdcD	2.7.2.15	COG0282	Propionate kinase
BNEGNLPN_00156	CDS	2295	tdcE	2.3.1.-	COG1882	PFL-like enzyme TdcE
BNEGNLPN_00157	CDS	1065	livJ_1		COG0683	Leu/Ile/Val/Thr-binding protein
BNEGNLPN_00158	CDS	915	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
BNEGNLPN_00159	CDS	1287				hypothetical protein
BNEGNLPN_00160	CDS	876	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
BNEGNLPN_00161	CDS	720	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
BNEGNLPN_00162	CDS	894	yjiE			HTH-type transcriptional regulator YjiE
BNEGNLPN_00163	CDS	1644	pckA_1	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
BNEGNLPN_00164	CDS	477				hypothetical protein
BNEGNLPN_00165	CDS	927	pcpR_1			PCP degradation transcriptional activation protein
BNEGNLPN_00166	CDS	1296	kgtP_1			Alpha-ketoglutarate permease
BNEGNLPN_00167	CDS	807	ais	5.3.3.7		Aconitate isomerase
BNEGNLPN_00168	CDS	900	cynR_1			HTH-type transcriptional regulator CynR
BNEGNLPN_00169	CDS	483				hypothetical protein
BNEGNLPN_00170	CDS	768	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
BNEGNLPN_00171	CDS	540				hypothetical protein
BNEGNLPN_00172	CDS	330				hypothetical protein
BNEGNLPN_00173	CDS	1341				hypothetical protein
BNEGNLPN_00174	CDS	654				hypothetical protein
BNEGNLPN_00175	CDS	1698	ompA_1			Outer membrane protein A
BNEGNLPN_00176	CDS	2487				hypothetical protein
BNEGNLPN_00177	CDS	210				hypothetical protein
BNEGNLPN_00178	CDS	1677	entF	2.7.7.-	COG1020	Enterobactin synthase component F
BNEGNLPN_00179	CDS	795	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
BNEGNLPN_00180	CDS	993	fepG		COG4779	Ferric enterobactin transport system permease protein FepG
BNEGNLPN_00181	CDS	1008	fepD		COG0609	Ferric enterobactin transport system permease protein FepD
BNEGNLPN_00182	CDS	1242	entS		COG0477	Enterobactin exporter EntS
BNEGNLPN_00183	CDS	960	fepB		COG4592	Ferrienterobactin-binding periplasmic protein
BNEGNLPN_00184	CDS	1176	entC	5.4.4.2	COG1169	Isochorismate synthase EntC
BNEGNLPN_00185	CDS	1608	entE	6.3.2.14	COG1021	Enterobactin synthase component E
BNEGNLPN_00186	CDS	852	entB	6.3.2.14	COG1535	Enterobactin synthase component B
BNEGNLPN_00187	CDS	756	entA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
BNEGNLPN_00188	CDS	414	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
BNEGNLPN_00189	CDS	2106	cstA		COG1966	Peptide transporter CstA
BNEGNLPN_00190	CDS	198				hypothetical protein
BNEGNLPN_00191	CDS	243				hypothetical protein
BNEGNLPN_00192	CDS	126				hypothetical protein
BNEGNLPN_00193	CDS	303				hypothetical protein
BNEGNLPN_00194	CDS	744	bdcA_1		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
BNEGNLPN_00195	CDS	1089	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
BNEGNLPN_00196	CDS	1503	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
BNEGNLPN_00197	CDS	999	rbsC_1		COG1172	Ribose import permease protein RbsC
BNEGNLPN_00198	CDS	1065				hypothetical protein
BNEGNLPN_00199	CDS	1242				hypothetical protein
BNEGNLPN_00200	CDS	1200	mtnK	2.7.1.100	COG4857	Methylthioribose kinase
BNEGNLPN_00201	CDS	1029	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
BNEGNLPN_00202	CDS	1269	agp_1	3.1.3.10		Glucose-1-phosphatase
BNEGNLPN_00203	CDS	1359	glpT_1		COG2271	Glycerol-3-phosphate transporter
BNEGNLPN_00204	CDS	810	suhB_1	3.1.3.25	COG0483	Inositol-1-monophosphatase
BNEGNLPN_00205	CDS	1041	rbsR_1		COG1609	Ribose operon repressor
BNEGNLPN_00206	CDS	1239	codA_1	3.5.4.1	COG0402	Cytosine deaminase
BNEGNLPN_00207	CDS	1236				hypothetical protein
BNEGNLPN_00208	CDS	1263	codB		COG1457	Cytosine permease
BNEGNLPN_00209	CDS	609	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
BNEGNLPN_00210	CDS	1497	lyx_1	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
BNEGNLPN_00211	CDS	1029	yoaD	1.1.1.-	COG0111	Putative 2-hydroxyacid dehydrogenase YoaD
BNEGNLPN_00212	CDS	942	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
BNEGNLPN_00213	CDS	1005	rbsC_2		COG1172	Ribose import permease protein RbsC
BNEGNLPN_00214	CDS	990	alsC		COG1172	D-allose transport system permease protein AlsC
BNEGNLPN_00215	CDS	1551	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
BNEGNLPN_00216	CDS	981	ytfQ_1			ABC transporter periplasmic-binding protein YtfQ
BNEGNLPN_00217	CDS	2310	dmsA_1	1.7.2.3	COG0243	Dimethyl sulfoxide/trimethylamine N-oxide reductase
BNEGNLPN_00218	CDS	543	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
BNEGNLPN_00219	CDS	690	mtnC	3.1.3.77		Enolase-phosphatase E1
BNEGNLPN_00220	CDS	1161	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
BNEGNLPN_00221	CDS	627	ybdM		COG1475	putative protein YbdM
BNEGNLPN_00222	CDS	1224	cysH_1	1.8.4.8		Phosphoadenosine phosphosulfate reductase
BNEGNLPN_00223	CDS	933	ybdO_1			putative HTH-type transcriptional regulator YbdO
BNEGNLPN_00224	CDS	750	dsbG		COG1651	Thiol:disulfide interchange protein DsbG
BNEGNLPN_00225	CDS	564	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
BNEGNLPN_00226	CDS	1566	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
BNEGNLPN_00227	CDS	429	uspG_1		COG0589	Universal stress protein UP12
BNEGNLPN_00228	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
BNEGNLPN_00229	CDS	798	rna	4.6.1.21	COG3719	Ribonuclease I
BNEGNLPN_00230	CDS	1374	dcuD		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
BNEGNLPN_00231	CDS	519	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
BNEGNLPN_00232	CDS	210	cspE			Cold shock-like protein CspE
BNEGNLPN_00233	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
BNEGNLPN_00234	CDS	789	ybeM	3.5.1.128		Deaminated glutathione amidase
BNEGNLPN_00235	CDS	204	tatE		COG1826	Sec-independent protein translocase protein TatE
BNEGNLPN_00236	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
BNEGNLPN_00237	CDS	897	ybdO_2			putative HTH-type transcriptional regulator YbdO
BNEGNLPN_00238	CDS	645	lipB	2.3.1.181	COG0321	Octanoyltransferase
BNEGNLPN_00239	CDS	264				hypothetical protein
BNEGNLPN_00240	CDS	1272	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
BNEGNLPN_00241	CDS	1149	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
BNEGNLPN_00242	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
BNEGNLPN_00243	CDS	1902	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
BNEGNLPN_00244	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
BNEGNLPN_00245	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
BNEGNLPN_00246	CDS	630	cobC_1	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
BNEGNLPN_00247	CDS	651	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
BNEGNLPN_00248	CDS	1035	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
BNEGNLPN_00249	CDS	591	lptE		COG2980	LPS-assembly lipoprotein LptE
BNEGNLPN_00250	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
BNEGNLPN_00251	CDS	486				hypothetical protein
BNEGNLPN_00252	CDS	1794	cdiA	3.1.-.-		tRNA nuclease CdiA
BNEGNLPN_00253	CDS	1671	shlB_1			Hemolysin transporter protein ShlB
BNEGNLPN_00254	CDS	726	glnQ_2	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
BNEGNLPN_00255	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
BNEGNLPN_00256	CDS	741	gltJ_1		COG0765	Glutamate/aspartate import permease protein GltJ
BNEGNLPN_00257	CDS	912	gltI		COG0834	Glutamate/aspartate import solute-binding protein
BNEGNLPN_00258	CDS	1539	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
BNEGNLPN_00259	CDS	948	corC		COG4535	Magnesium and cobalt efflux protein CorC
BNEGNLPN_00260	CDS	474	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
BNEGNLPN_00261	CDS	1047	ybeZ		COG1702	PhoH-like protein
BNEGNLPN_00262	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
BNEGNLPN_00263	CDS	1176	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
BNEGNLPN_00264	tRNA	75				tRNA-Gln(ctg)
BNEGNLPN_00265	tRNA	75				tRNA-Gln(ctg)
BNEGNLPN_00266	tRNA	77				tRNA-Met(cat)
BNEGNLPN_00267	tRNA	75				tRNA-Gln(ttg)
BNEGNLPN_00268	tRNA	75				tRNA-Gln(ttg)
BNEGNLPN_00269	tRNA	85				tRNA-Leu(tag)
BNEGNLPN_00270	tRNA	77				tRNA-Met(cat)
BNEGNLPN_00271	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
BNEGNLPN_00272	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
BNEGNLPN_00273	CDS	1221	nagC_1		COG1940	N-acetylglucosamine repressor
BNEGNLPN_00274	CDS	1149	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
BNEGNLPN_00275	CDS	801	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
BNEGNLPN_00276	CDS	1956	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
BNEGNLPN_00277	CDS	1668	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
BNEGNLPN_00278	CDS	309				hypothetical protein
BNEGNLPN_00279	CDS	1404	chiP			Chitoporin
BNEGNLPN_00280	CDS	333	chiQ			putative lipoprotein ChiQ
BNEGNLPN_00281	CDS	516				hypothetical protein
BNEGNLPN_00282	CDS	453	fur		COG0735	Ferric uptake regulation protein
BNEGNLPN_00283	CDS	531	fldA		COG0716	Flavodoxin
BNEGNLPN_00284	CDS	294	ybfE			putative protein YbfE
BNEGNLPN_00285	CDS	774	ybfF	3.1.-.-	COG0596	Esterase YbfF
BNEGNLPN_00286	CDS	693	seqA			Negative modulator of initiation of replication
BNEGNLPN_00287	CDS	1641	pgm	5.4.2.2	COG0033	Phosphoglucomutase
BNEGNLPN_00288	CDS	438				hypothetical protein
BNEGNLPN_00289	CDS	678	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
BNEGNLPN_00290	CDS	2688	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
BNEGNLPN_00291	CDS	576	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
BNEGNLPN_00292	CDS	2049	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
BNEGNLPN_00293	CDS	1680	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
BNEGNLPN_00294	CDS	207				hypothetical protein
BNEGNLPN_00295	CDS	1443	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
BNEGNLPN_00296	CDS	1479	dtpD		COG3104	Dipeptide permease D
BNEGNLPN_00297	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
BNEGNLPN_00298	CDS	657	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
BNEGNLPN_00299	CDS	933	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
BNEGNLPN_00300	CDS	744	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
BNEGNLPN_00301	CDS	726				hypothetical protein
BNEGNLPN_00302	CDS	996				hypothetical protein
BNEGNLPN_00303	CDS	645	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
BNEGNLPN_00304	CDS	792	nei	3.2.2.-	COG0266	Endonuclease 8
BNEGNLPN_00305	CDS	1284	gltA_1	2.3.3.16	COG0372	Citrate synthase
BNEGNLPN_00306	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
BNEGNLPN_00307	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
BNEGNLPN_00308	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
BNEGNLPN_00309	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
BNEGNLPN_00310	CDS	2808	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
BNEGNLPN_00311	CDS	1227	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
BNEGNLPN_00312	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
BNEGNLPN_00313	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
BNEGNLPN_00314	CDS	1569	cydA_1	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
BNEGNLPN_00315	CDS	1140	cydB_1	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
BNEGNLPN_00316	CDS	117	cydX	7.1.1.7	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
BNEGNLPN_00317	CDS	291				hypothetical protein
BNEGNLPN_00318	CDS	405	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
BNEGNLPN_00319	CDS	693	tolQ		COG0811	Tol-Pal system protein TolQ
