geneNames	transcriptNames	id	fc	pval	qval
.	gene-HT085_RS11540	360	0.525110551241038	0.00329915484734888	0.116835587180252
.	gene-HT085_RS01610	322	0.296567089900141	0.00382639349988767	0.132634761444418
rpsH	gene-HT085_RS10410	2117	0.586282002616902	0.00387443314832769	0.132634761444418
.	rna-HT085_RS10720	2181	0.763479869981712	0.00405594461223457	0.136572298910325
.	rna-HT085_RS07210	1456	0.36051351692149	0.00419602633111882	0.139010291679323
.	gene-HT085_RS08100	1637	0.202599944407106	0.00435127889740383	0.141865505639166
katA	gene-HT085_RS10770	2191	1.57545779498658	0.00514648404990625	0.165169972476679
.	gene-HT085_RS02575	517	1.551152166692	0.00568687541844504	0.179705263222863
.	gene-HT085_RS01500	302	0.256458214781098	0.00589815894769485	0.183557855735837
.	gene-HT085_RS03085	624	1.12182452608334	0.00622733145858778	0.190045484735446
.	gene-HT085_RS08405	1706	2.02582693780685	0.00629167135443542	0.190045484735446
gloA	gene-HT085_RS08545	1732	1.9157861919683	0.00645301281918575	0.192094033776921
pgl	gene-HT085_RS04020	810	0.424944520660143	0.00659544400546985	0.193529171246215
.	gene-HT085_RS01600	320	0.522418934211325	0.00681331979620992	0.197106462836833
.	rna-HT085_RS04440	895	0.0791148796621033	0.00713226455340921	0.203467658231979
.	gene-HT085_RS03460	698	0.349867036403283	0.00735909731426743	0.20706282032199
.	gene-HT085_RS10925	2221	1.68177463975622	0.00768224612609236	0.213234237067483
.	gene-HT085_RS02165	434	2.0428964524417	0.00813201407357722	0.222708758761701
rplE	gene-HT085_RS10400	2115	0.357928615518178	0.00878625626631457	0.236375551818413
.	gene-HT085_RS04545	915	0.501408760025075	0.00886654590561864	0.236375551818413
.	gene-HT085_RS00930	189	0.462039635575098	0.0089762867779144	0.236375551818413
clpB	gene-HT085_RS05615	1133	6.73313880409149	0.00912266357960179	0.237189253069646
rplF	gene-HT085_RS10415	2118	1.11008664982047	0.00930580807615455	0.238665697521503
.	rna-HT085_RS01120	225	0.214155735847102	0.00968333879634953	0.238665697521503
.	gene-HT085_RS04635	932	0.370095445521423	0.00970766419393798	0.238665697521503
rpsI	gene-HT085_RS09275	1887	0.389828800896401	0.00972494927163481	0.238665697521503
.	gene-HT085_RS03620	730	1.39777695875788	0.00984672789636398	0.238665697521503
pheA	gene-HT085_RS07375	1490	1.18593173960497	0.00987662331515471	0.238665697521503
ruvA	gene-HT085_RS08920	1810	2.42701011657796	0.0113695205719067	0.269080986762392
groL	gene-HT085_RS10985	2233	8.79270062276308	0.0113972959339474	0.269080986762392
.	gene-HT085_RS05660	1142	0.604917693214535	0.0118939844885305	0.277616410675474
dxs	gene-HT085_RS00175	35	1.71558991508399	0.0124475579293595	0.287272853785442
mafB	gene-HT085_RS07775	1570	0.725818297565356	0.013809942933237	0.315173586498542
.	gene-HT085_RS07980	1612	1.07124200610336	0.0141971961763967	0.320261477403413
.	gene-HT085_RS02820	569	0.184955699997792	0.0146688356110094	0.320261477403413
folD	gene-HT085_RS09425	1916	0.284432932996364	0.0151086536141909	0.320261477403413
.	gene-HT085_RS07860	1587	0.42533660481555	0.0151138836820022	0.320261477403413
.	gene-HT085_RS06535	1323	0.389451281901365	0.0151462478350884	0.320261477403413
rplO	gene-HT085_RS10435	2123	1.153302546865	0.0153642988593068	0.320261477403413
.	gene-HT085_RS00645	133	0.211043844264655	0.0153832997932566	0.320261477403413
.	gene-HT085_RS03510	708	1.48347681913731	0.0155253762951388	0.320261477403413
.	gene-HT085_RS04175	843	0.349899279808901	0.0155728570214331	0.320261477403413
fnr	gene-HT085_RS07745	1564	0.575505015484586	0.015592087507469	0.320261477403413
.	gene-HT085_RS07565	1527	0.521537110893431	0.0164860832542637	0.335271435685719
trpA	gene-HT085_RS01635	326	0.424869387496857	0.0169117527263156	0.340556275488748
.	gene-HT085_RS10980	2232	24.6170656669353	0.017381775060739	0.341106018891759
.	gene-HT085_RS05845	1181	1.62363841297887	0.0174518715980403	0.341106018891759
gshB	gene-HT085_RS01225	246	2.32378200946855	0.0175324874784955	0.341106018891759
.	gene-HT085_RS01790	357	0.392308017917298	0.0176033291151541	0.341106018891759
.	gene-HT085_RS02795	564	2.0802962299326	0.0179353792143926	0.344292232769742
.	gene-HT085_RS02345	470	0.79893548198369	0.0182265062808575	0.346641147230383
.	gene-HT085_RS11690	783	0.180744293290735	0.0189097109439241	0.35383207228078
nalP	gene-HT085_RS05805	1174	0.665527992466103	0.0189854235128144	0.35383207228078
hisG	gene-HT085_RS01110	223	1.03617472796404	0.0191214021534404	0.35383207228078
.	gene-HT085_RS11645	281	0.360773989953206	0.0199283241162539	0.36547122977487
rimM	gene-HT085_RS00875	178	0.629778738402727	0.020365446758317	0.370182545500735
aroB	gene-HT085_RS00480	99	1.74126077226981	0.0208926733000256	0.376434657528532
gatC	gene-HT085_RS03740	754	0.202795807712194	0.0213235519445074	0.380857179947985
rplN	gene-HT085_RS10390	2113	0.287322480032	0.0215463009891927	0.381518122687947
.	gene-HT085_RS09535	1938	0.070315867657334	0.021738146263345	0.381625234400946
.	gene-HT085_RS06255	1264	0.387086734245661	0.0220056561848122	0.383047608505121
tsaD	gene-HT085_RS00540	112	0.607980287079434	0.0230108435719141	0.385803008168738
.	gene-HT085_RS08855	1797	1.41420881289853	0.0237170276968286	0.385803008168738
.	gene-HT085_RS11220	2277	1.58567962024576	0.0237390183104758	0.385803008168738
.	MSTRG.621.1	951	0.234284395584535	0.0237880908671272	0.385803008168738
frr	gene-HT085_RS10590	2154	0.38868011167299	0.0238372723641973	0.385803008168738
lolD	gene-HT085_RS04295	866	2.07882976168984	0.0238852291695079	0.385803008168738
parC	gene-HT085_RS00975	197	0.554396110424529	0.0240056057499811	0.385803008168738
.	gene-HT085_RS01140	229	0.212157029184654	0.0240130691401562	0.385803008168738
porB	gene-HT085_RS10500	2136	0.368072025613083	0.0240936492465088	0.385803008168738
pilT	gene-HT085_RS09900	2011	0.662116006572891	0.0242899508925332	0.385803008168738
.	MSTRG.1525.1	2063	0.714744300660093	0.0243995416176804	0.385803008168738
dnaK	gene-HT085_RS07025	1420	6.26457658075548	0.0246233860917585	0.385803008168738
rplQ	gene-HT085_RS10475	2131	0.460395091922728	0.0246316136431863	0.385803008168738
.	gene-HT085_RS06940	1403	0.871415822454506	0.0249805303254037	0.385803008168738
nadC	gene-HT085_RS07670	1549	1.15518850776265	0.0251583649811357	0.385803008168738
proB	gene-HT085_RS04650	935	0.314624577097901	0.025169443621838	0.385803008168738
.	gene-HT085_RS07050	1425	0.430479317251709	0.0253570623674682	0.385803008168738
hpnC	gene-HT085_RS05285	1063	0.773423211729001	0.0263972331063183	0.396260988208485
rsmD	gene-HT085_RS10200	2077	0.535012055265226	0.0265177972705878	0.396260988208485
metE	gene-HT085_RS05045	1015	4.49391544118019	0.0268946757944253	0.396260988208485
sohB	gene-HT085_RS01070	215	0.495304320040768	0.0271844604206088	0.396260988208485
.	gene-HT085_RS07640	1541	0.572472049184431	0.027383167088896	0.396260988208485
.	gene-HT085_RS04510	908	0.64657530328103	0.0274015493576985	0.396260988208485
.	gene-HT085_RS10990	2234	0.238609458261662	0.027513097950516	0.396260988208485
.	gene-HT085_RS09340	1900	0.433490512990811	0.0276143449671735	0.396260988208485
.	gene-HT085_RS07490	1512	0.591753789473764	0.0278757893377353	0.396260988208485
.	gene-HT085_RS09440	1919	1.73907689533285	0.0280608178624528	0.396260988208485
.	gene-HT085_RS06750	1364	0.727735072594109	0.0283559392956616	0.396260988208485
.	rna-HT085_RS01630	325	0.0500327159954274	0.0284164205076831	0.396260988208485
ruvB	gene-HT085_RS04250	857	0.486424037303288	0.0285523983714001	0.396260988208485
upp	gene-HT085_RS02180	437	0.378930772185739	0.028755411593248	0.396400103439808
.	gene-HT085_RS05180	1038	0.384997806605263	0.0290892709038927	0.398329082910637
rpsN	gene-HT085_RS10405	2116	0.478538942338054	0.0297727768682289	0.402511244439573
.	gene-HT085_RS03805	768	2.86773891432421	0.030015672645509	0.402511244439573
hpnD	gene-HT085_RS04570	920	0.437180021065558	0.0300792388234301	0.402511244439573
speA	gene-HT085_RS07275	1469	0.825149946889458	0.0301785451040381	0.402511244439573
.	gene-HT085_RS00510	106	0.554069077477053	0.0304161723648755	0.403063342177124
.	gene-HT085_RS06645	1344	0.0583337054978951	0.030737577517995	0.404711437320267
.	gene-HT085_RS05560	1116	0.598386554122361	0.0312349257880129	0.407178509374391
.	gene-HT085_RS09335	1899	0.251846392493282	0.03132142379803	0.407178509374391
.	gene-HT085_RS04890	982	0.0421313879892475	0.03187966949517	0.407949971822872
.	gene-HT085_RS06925	1400	0.349882538814051	0.0318895261254928	0.407949971822872
.	gene-HT085_RS06455	1307	0.247724332480734	0.0321020157558527	0.407949971822872
.	gene-HT085_RS05585	1127	4.27685369896949	0.0322157913104411	0.407949971822872
.	gene-HT085_RS11010	2238	0.167866553339957	0.032563889936301	0.407949971822872
.	gene-HT085_RS05370	1079	0.465717795239003	0.0327112317525675	0.407949971822872
grpE	gene-HT085_RS06985	1412	2.97354448042755	0.0329402522827009	0.407949971822872
.	gene-HT085_RS11240	2281	0.505297102122118	0.0329696666614395	0.407949971822872
.	gene-HT085_RS05825	1177	0.692129875974122	0.0333377327972395	0.410034150691796
folB	gene-HT085_RS04685	942	0.310342394046932	0.0341057337200983	0.413545164746636
.	gene-HT085_RS02945	595	1.93051817833167	0.0342190181222888	0.413545164746636
.	gene-HT085_RS11570	1093	2.51169250768891	0.0347762254344186	0.413545164746636
rplR	gene-HT085_RS10420	2120	0.597586041034766	0.0348888125526993	0.413545164746636
.	gene-HT085_RS09485	1928	0.2783500753089	0.0354147609105276	0.413545164746636
sdhA	gene-HT085_RS05015	1008	0.515563974483606	0.0355643907231261	0.413545164746636
.	gene-HT085_RS03850	778	1.30898956227793	0.0358278824354483	0.413545164746636
mpl	gene-HT085_RS04500	906	0.592235221685166	0.0362467670291219	0.413545164746636
.	gene-HT085_RS03645	735	0.696817802321748	0.0363919183053031	0.413545164746636
.	gene-HT085_RS00525	109	0.473104323704087	0.0367212097655381	0.413545164746636
rpoZ	gene-HT085_RS06360	1289	0.26823419409613	0.0367814316375319	0.413545164746636
rpoB	gene-HT085_RS10265	2090	1.73290816590032	0.0368982062067797	0.413545164746636
dnaJ	gene-HT085_RS09960	2031	1.8835803380874	0.036994527589628	0.413545164746636
edd	gene-HT085_RS04005	807	1.69420602652772	0.03719665298871	0.413545164746636
.	gene-HT085_RS07225	1459	0.333153373526495	0.0372258280981803	0.413545164746636
.	gene-HT085_RS11510	2156	0.669348278074855	0.0373398604327367	0.413545164746636
ssrA	rna-HT085_RS04810	969	2.15917974840077	0.0374432568693983	0.413545164746636
.	gene-HT085_RS11750	1050	1.07587429314509	0.0374605554485485	0.413545164746636
rpsA	gene-HT085_RS03435	693	0.648792840622687	0.0376381344940482	0.413545164746636
ybaK	gene-HT085_RS03165	640	0.190864331935838	0.0376499249306821	0.413545164746636
.	rna-HT085_RS09935	2020	1.30247778235446	0.0379153102160819	0.414244931828894
murF	gene-HT085_RS07550	1524	2.21185949646354	0.0382504755158265	0.415529899504055
.	gene-HT085_RS05200	1043	1.97534675299848	0.0385826389482078	0.415529899504055
.	gene-HT085_RS00885	180	2.3637122355577	0.0386398299928308	0.415529899504055
.	rna-HT085_RS01065	214	0.363218963591921	0.0390008559334609	0.417227906704837
aat	gene-HT085_RS10690	2175	1.67943738595985	0.0399118812642354	0.424682566586077
rplX	gene-HT085_RS10395	2114	0.304678726541827	0.0401112063864162	0.424682566586077
.	gene-HT085_RS08700	1764	0.450737375317394	0.0403299365696359	0.424808665200165
.	gene-HT085_RS07040	1423	0.134415583642303	0.0413331336598197	0.433154370088111
gyrB	gene-HT085_RS10745	2186	0.601735441428091	0.0423003462506487	0.441040158369708
sstT	gene-HT085_RS09665	1964	0.571855769831299	0.042955212380319	0.445606092066541
rpsR	gene-HT085_RS03335	673	0.32206397790631	0.0432927010377746	0.446238162988654
.	rna-HT085_RS08320	1687	1.27496582095219	0.043450648781758	0.446238162988654
.	gene-HT085_RS05690	1148	1.55982836869956	0.0447156981987575	0.449782329326343
nadE	gene-HT085_RS03690	744	0.689229318650757	0.0450263764449186	0.449782329326343
ccoO	gene-HT085_RS06705	1356	0.468095655736755	0.0451119544903454	0.449782329326343
rplM	gene-HT085_RS09280	1888	0.393435340814265	0.0453236288600825	0.449782329326343
.	gene-HT085_RS02985	603	0.402246224933924	0.0453488431598662	0.449782329326343
.	gene-HT085_RS03430	691	0.315458968043005	0.0454595113811262	0.449782329326343
rplW	gene-HT085_RS10350	2105	2.34398000934664	0.0455395814877448	0.449782329326343
.	gene-HT085_RS00315	65	2.27318790272482	0.0458543164961741	0.449782329326343
.	gene-HT085_RS05035	1013	8.30736292002602	0.0461422931669773	0.449782329326343
ttcA	gene-HT085_RS03150	637	0.897433634033765	0.046226758739969	0.449782329326343
.	gene-HT085_RS04505	907	0.265638975154735	0.0465843649642378	0.449782329326343
rpsO	gene-HT085_RS01325	267	0.203316158617644	0.0468559570521707	0.449782329326343
.	gene-HT085_RS02645	532	0.471847146628908	0.0469284799892469	0.449782329326343
ftsA	gene-HT085_RS07500	1514	0.422412073844079	0.0470277941102664	0.449782329326343
.	gene-HT085_RS00770	156	1.58727366098517	0.0470804288243251	0.449782329326343
.	gene-HT085_RS07650	1545	2.56958683318779	0.0475801027123327	0.452451532273756
.	gene-HT085_RS02975	601	0.607293924327692	0.0478042315056929	0.452487979321167
mafA	gene-HT085_RS07770	1569	0.308156681964988	0.0488471098618355	0.456772533489359
secB	gene-HT085_RS00590	122	0.567195998115428	0.0489574738880016	0.456772533489359
.	gene-HT085_RS05960	1204	11.5526435271647	0.0489670800140298	0.456772533489359
prmC	gene-HT085_RS09325	1897	0.187687519029479	0.0491464118311336	0.456772533489359
.	gene-HT085_RS03580	722	0.361774467763947	0.0495786124274271	0.456893374420572
.	gene-HT085_RS07740	1563	0.405122835121375	0.0496199873192331	0.456893374420572
pilB	gene-HT085_RS08600	1743	0.622680414575656	0.0498267360614451	0.456893374420572
